id,questionId,partyName,incCode,eduCode,x,y
10000040,CHNG_B,Republican,2,2,920.1591564642869,9.764153594780204
10000040,CHNG_A,Republican,2,2,547.2607110875078,152.3909839151082
10000040,SCIMPACT,Republican,2,2,910.318433022322,252.3563025210084
10000250,CHNG_B,Independent,6,3,731.2510884033871,16.06582154789047
10000250,CHNG_A,Independent,6,3,648.9094595318466,176.72860860239976
10000250,SCIMPACT,Independent,6,3,641.9228613784364,281.9569871350468
10000560,CHNG_B,Republican,2,2,187.54365494274523,64.05717536963898
10000560,CHNG_A,Republican,2,2,608.6434263412478,218.87879187731252
10000560,SCIMPACT,Republican,2,2,490.5938962268811,332.4111362504256
10000960,CHNG_B,Republican,2,2,149.51021451583046,32.72461524278961
10000960,CHNG_A,Republican,2,2,632.7125749139356,145.58355099955165
10000960,SCIMPACT,Republican,2,2,891.7207538093836,267.3812172959431
10001530,CHNG_B,Other,4,3,123.24411014429094,63.187469863375334
10001530,CHNG_A,Other,4,3,1016.9839172819128,216.0545277617897
10001530,SCIMPACT,Other,4,3,459.3633539007084,355.8582521100556
10001780,CHNG_B,Democrat,5,3,294.688371461147,120.6436974789916
10001780,CHNG_A,Democrat,5,3,644.726523184826,235.00901475659953
10001780,SCIMPACT,Democrat,5,3,826.6744282744284,297.845605015142
10002040,CHNG_B,Democrat,4,2,187.7889920187459,77.53660009328638
10002040,CHNG_A,Democrat,4,2,1054.8521114095502,234.2202454208142
10002040,SCIMPACT,Democrat,4,2,826.6744282744284,317.64820075422983
10002560,CHNG_B,Democrat,1,1,395.6513063076545,73.73759911969188
10002560,CHNG_A,Democrat,1,1,1107.4446607364705,246.0218487394958
10002560,SCIMPACT,Democrat,1,1,1157.823166471431,318.6502279342187
10003080,CHNG_B,Democrat,8,4,412.5372141372142,110.78638598693172
10003080,CHNG_A,Democrat,8,4,197.20989811803688,203.3874804486237
10003080,SCIMPACT,Democrat,8,4,811.5478348900929,339.1205549397629
10003740,CHNG_B,Republican,6,3,914.5760153446364,17.986373084867374
10003740,CHNG_A,Republican,6,3,615.7723243613536,153.11425507931304
10003740,SCIMPACT,Republican,6,3,452.58713479095235,325.8648375687539
10004000,CHNG_B,Independent,1,2,192.58398876236208,63.70219528080335
10004000,CHNG_A,Independent,1,2,169.38517754540067,163.75602506278733
10004000,SCIMPACT,Independent,1,2,640.1314674435134,252.3563025210084
10004770,CHNG_B,Democrat,8,4,331.9204790119597,86.76517452768913
10004770,CHNG_A,Democrat,8,4,1052.9353423174898,217.68496488015197
10004770,SCIMPACT,Democrat,8,4,676.0294911549594,346.77072718352605
10005210,CHNG_B,Independent,5,3,342.29589592964027,21.597888319334665
10005210,CHNG_A,Independent,5,3,364.0651138665802,164.2593972332922
10005210,SCIMPACT,Independent,5,3,1175.1413870435651,313.6287681886673
10005620,CHNG_B,Republican,5,2,129.6959049950926,69.17122663766246
10005620,CHNG_A,Republican,5,2,93.0699639217313,175.160788668457
10005620,SCIMPACT,Republican,5,2,442.2281350080727,307.1752590194749
10005890,CHNG_B,Republican,1,1,929.9497106562573,1.6
10005890,CHNG_A,Republican,1,1,594.435584243355,130.1549718800739
10005890,SCIMPACT,Republican,1,1,901.364427192171,252.88064578601356
10006210,CHNG_B,Independent,8,4,1077.3638680268427,17.45843286896329
10006210,CHNG_A,Independent,8,4,1067.4526476919539,127.04049946071245
10006210,SCIMPACT,Independent,8,4,805.5676083155229,288.1257075061707
10006360,CHNG_B,Republican,2,1,1034.2737637168582,47.81693772699071
10006360,CHNG_A,Republican,2,1,455.2285568056866,208.6080199447022
10006360,SCIMPACT,Republican,2,1,891.3035409663534,291.6608633778705
10006590,CHNG_B,Republican,4,3,140.5543106963899,68.26691871173676
10006590,CHNG_A,Republican,4,3,587.148883842603,162.92334281092295
10006590,SCIMPACT,Republican,4,3,531.371732223905,314.68908686730185
10006840,CHNG_B,Republican,4,3,931.6167889921805,60.04055730698442
10006840,CHNG_A,Republican,4,3,647.7177182005381,126.97815126050419
10006840,SCIMPACT,Republican,4,3,894.7544492499235,270.7010475420609
10007090,CHNG_B,Democrat,2,4,324.011652195817,1.6
10007090,CHNG_A,Democrat,2,4,322.46701379414674,188.58304213995734
10007090,SCIMPACT,Democrat,2,4,816.53627779978,349.26078515853646
10007360,CHNG_B,Democrat,1,1,1089.334995971586,78.09041457860448
10007360,CHNG_A,Democrat,1,1,1048.5148150728437,221.96449650615773
10007360,SCIMPACT,Democrat,1,1,668.1742998182903,350.61991391255515
10007840,CHNG_B,Democrat,5,3,1155.7559268848738,77.20736282533854
10007840,CHNG_A,Democrat,5,3,1141.4362023875888,242.13281713909214
10007840,SCIMPACT,Democrat,5,3,713.7944126941096,294.64496622876925
10008250,CHNG_B,Independent,1,2,211.8250231804132,47.62542583349939
10008250,CHNG_A,Independent,1,2,650.6940053028745,196.10913742449694
10008250,SCIMPACT,Independent,1,2,620.2258250031205,271.85126046177436
10008330,CHNG_B,Republican,8,1,569.1715559357386,55.10384171366525
10008330,CHNG_A,Republican,8,1,1026.9026847153732,146.58697568164834
10008330,SCIMPACT,Republican,8,1,1048.407717926312,278.9720931117126
10008550,CHNG_B,Republican,2,2,70.29830517846787,63.26060327175036
10008550,CHNG_A,Republican,2,2,596.0287783372602,155.72056357051963
10008550,SCIMPACT,Republican,2,2,549.4516689332597,271.92258325773946
10009000,CHNG_B,Democrat,7,4,195.92437463838166,82.25162651464503
10009000,CHNG_A,Democrat,7,4,331.03214654027977,186.32638763492884
10009000,SCIMPACT,Democrat,7,4,799.3072386821898,312.1779338595357
10009320,CHNG_B,Republican,4,2,36.67823056861991,42.708874504370534
10009320,CHNG_A,Republican,4,2,490.7242377688206,179.78640075144423
10009320,SCIMPACT,Republican,4,2,592.3908033837097,254.5398201262512
10009720,CHNG_B,Democrat,4,4,412.38862411169106,110.17741123090576
10009720,CHNG_A,Democrat,4,4,285.72735488531197,178.5986628203871
10009720,SCIMPACT,Democrat,4,4,640.2277419123722,291.03133493917295
10010270,CHNG_B,Other,8,1,128.34890240851672,105.52206204353062
10010270,CHNG_A,Other,8,1,141.0701979061442,189.75902828642464
10010270,SCIMPACT,Other,8,1,1031.1645420608231,348.19868662390104
10010540,CHNG_B,Other,2,4,539.5413739796234,75.5084773665094
10010540,CHNG_A,Other,2,4,488.8082453682767,232.435612522383
10010540,SCIMPACT,Other,2,4,1030.6686677154241,343.80335479144367
10010770,CHNG_B,Independent,8,3,157.90041810907115,12.252816728312345
10010770,CHNG_A,Independent,8,3,249.23128787270446,160.85568800967175
10010770,SCIMPACT,Independent,8,3,619.3791188011224,288.24683157349347
10011380,CHNG_B,Independent,5,1,213.35562807221365,6.966515739739745
10011380,CHNG_A,Independent,5,1,1189.593146468118,167.1996507853217
10011380,SCIMPACT,Independent,5,1,1196.6423915025402,307.3518267028859
10011720,CHNG_B,Republican,5,3,144.5020295417649,39.54594602414801
10011720,CHNG_A,Republican,5,3,1016.439972980155,129.35878585136936
10011720,SCIMPACT,Republican,5,3,467.50771197753136,328.7464428177502
10011990,CHNG_B,Republican,8,4,166.82849072075902,1.6
10011990,CHNG_A,Republican,8,4,440.47162607899014,170.64927163011873
10011990,SCIMPACT,Republican,8,4,899.2573823403371,257.40350160682493
10012990,CHNG_B,Independent,4,4,1075.2464790922097,29.178297347095917
10012990,CHNG_A,Independent,4,4,1166.0331438674887,126.97815126050419
10012990,SCIMPACT,Independent,4,4,1199.3126904089436,277.9388767788433
10013130,CHNG_B,Independent,1,4,720.3524031255535,38.62349358598227
10013130,CHNG_A,Independent,1,4,647.9283605091885,157.36807017641468
10013130,SCIMPACT,Independent,1,4,1202.6151942576387,280.9874376171281
10013540,CHNG_B,Democrat,4,1,178.5208709637983,54.1524943484627
10013540,CHNG_A,Democrat,4,1,1182.0849990893926,183.34482030029065
10013540,SCIMPACT,Democrat,4,1,655.7043679202807,329.3050186194383
10014330,CHNG_B,Republican,4,2,522.2300320707534,33.29267609249665
10014330,CHNG_A,Republican,4,2,649.9348273717791,138.24406432956937
10014330,SCIMPACT,Republican,4,2,1037.4563471215304,333.85610570510727
10014570,CHNG_B,Republican,7,1,64.75626113537,72.80211501537833
10014570,CHNG_A,Republican,7,1,643.4605649243805,149.6564508694029
10014570,SCIMPACT,Republican,7,1,914.7522200938594,252.3563025210084
10014960,CHNG_B,Democrat,4,2,140.33807386918738,120.6436974789916
10014960,CHNG_A,Democrat,4,2,1187.374108179908,190.6147028821389
10014960,SCIMPACT,Democrat,4,2,699.4523994108596,326.7915727271552
10015450,CHNG_B,Democrat,6,3,396.69976229827284,67.72528283233964
10015450,CHNG_A,Democrat,6,3,197.6709483325954,235.46614355402315
10015450,SCIMPACT,Democrat,6,3,572.8400395546694,336.1442405368344
10015860,CHNG_B,Democrat,8,4,170.3394853955806,120.6436974789916
10015860,CHNG_A,Democrat,8,4,221.5620159037792,173.5832544535336
10015860,SCIMPACT,Democrat,8,4,747.554615356567,326.9169930711074
10016070,CHNG_B,Independent,1,2,412.5372141372142,1.6
10016070,CHNG_A,Independent,1,2,654.057481596706,130.4989220756632
10016070,SCIMPACT,Independent,1,2,820.5719250571582,268.2667140428116
10016590,CHNG_B,Republican,8,3,918.5109758301965,15.807052196721168
10016590,CHNG_A,Republican,8,3,645.774609067128,161.08509405671137
10016590,SCIMPACT,Republican,8,3,912.3329839903879,307.8291692631328
10016870,CHNG_B,Democrat,7,2,352.4972730414668,48.54793413656707
10016870,CHNG_A,Democrat,7,2,1050.5840374766456,225.95963004104522
